city,consultation_fee,degree,dp_score,location,name,npv,profile_url,scraped_at,speciality,year_of_experience
Mumbai,2000,MBBS,100.0,Mahim,Dr. Manishi Nautiyal,0,https://www.practo.com/mumbai/doctor/dr-manishi-nautiyal-endocrinologist?practice_id=692922&specialization=Endocrinologist&referrer=doctor_listing&page_uid=b13184f2-e75c-443b-a5eb-5bba90e959d6,2025-08-17T03:31:21.783728,Endocrinologist,
Mumbai,2000,MBBS,,,Dr. Johann Varghese,,https://www.practo.com/mumbai/doctor/johann-varghese-endocrinologist/recommended?practice_id=1600626&specialization=Endocrinologist&referrer=doctor_listing&page_uid=b13184f2-e75c-443b-a5eb-5bba90e959d6,2025-08-17T03:31:24.844041,Endocrinologist,
Mumbai,2000,MBBS,,Goregaon,Dr. Johann Varghese,,https://www.practo.com/mumbai/doctor/johann-varghese-endocrinologist?practice_id=1600626&specialization=Endocrinologist&referrer=doctor_listing&page_uid=b13184f2-e75c-443b-a5eb-5bba90e959d6,2025-08-17T03:31:27.801643,Endocrinologist,
Mumbai,2000,MBBS,93.0,,Dr. Deep Hathi,0,https://www.practo.com/mumbai/doctor/deep-hathi-general-physician/recommended?practice_id=2070167&specialization=Endocrinologist&referrer=doctor_listing&page_uid=b13184f2-e75c-443b-a5eb-5bba90e959d6,2025-08-17T03:31:30.859348,Endocrinologist,
Mumbai,2000,MBBS,93.0,Dahisar East,Dr. Deep Hathi,0,https://www.practo.com/mumbai/doctor/deep-hathi-general-physician?practice_id=2070167&specialization=Endocrinologist&referrer=doctor_listing&page_uid=b13184f2-e75c-443b-a5eb-5bba90e959d6,2025-08-17T03:31:33.927322,Endocrinologist,
Mumbai,2000,MBBS,89.0,,Dr. Neha Singhal,0,https://www.practo.com/mumbai/doctor/neha-singhal-endocrinologist-1/recommended?practice_id=1311290&specialization=Endocrinologist&referrer=doctor_listing&page_uid=b13184f2-e75c-443b-a5eb-5bba90e959d6,2025-08-17T03:31:37.263469,Endocrinologist,
Mumbai,2000,MBBS,89.0,Chembur East,Dr. Neha Singhal,0,https://www.practo.com/mumbai/doctor/neha-singhal-endocrinologist-1?practice_id=1311290&specialization=Endocrinologist&referrer=doctor_listing&page_uid=b13184f2-e75c-443b-a5eb-5bba90e959d6,2025-08-17T03:31:39.918126,Endocrinologist,
Mumbai,2000,MD,93.0,,Dr. Madhur G Maheshwari,0,https://www.practo.com/mumbai/doctor/dr-madhur-g-maheshwari-endocrinologist/recommended?practice_id=1308405&specialization=Endocrinologist&referrer=doctor_listing&page_uid=b13184f2-e75c-443b-a5eb-5bba90e959d6,2025-08-17T03:31:42.875618,Endocrinologist,
Mumbai,2000,MD,93.0,Andheri West,Dr. Madhur G Maheshwari,0,https://www.practo.com/mumbai/doctor/dr-madhur-g-maheshwari-endocrinologist?practice_id=1308405&specialization=Endocrinologist&referrer=doctor_listing&page_uid=b13184f2-e75c-443b-a5eb-5bba90e959d6,2025-08-17T03:31:45.924915,Endocrinologist,
Mumbai,2400,DM,94.0,,Dr. Shivangi Singh,0,https://www.practo.com/mumbai/doctor/shivangi-mishra-endocrinologist/recommended?practice_id=1039258&specialization=Endocrinologist&referrer=doctor_listing&page_uid=b13184f2-e75c-443b-a5eb-5bba90e959d6,2025-08-17T03:31:48.900552,Endocrinologist,
